"'BOOKING NO","':235500249844 APPLICATION NO. 15042402006656",
"'VESSEL/VOYAGE","':EVER PEACE 1171-227N",
"'CARRIER","':EVERGREEN LINE",
"'ON BEHALF OF","':EVERGREEN MARINE CORPORATION",
"'PORT OF RECEIPT","':HO CHI MINH,SOCIALIST REPUBLIC OF VIETNAM",
"'PORT OF LOADING","':HO CHI MINH, SOCIALIST REPUBLIC OF VIETNAM",
"'CUT OFF DATE","'/TIME:2015/05/26 17:00 PM",
"'ETA DATE","'2015/05/26 XUATNHAP KHAU",
"'ETD DATE","':2015/05/27",
"'TRANSSHIP PORT","':SHEKOU, CHINA SAI GÔN",
"'ETA DATE","':2015/05/30",
"'CONNECTION","'VSL/VOY :EVER LADEN 0738-015W",
"'PORT OF DISCHARGE","':JEDDAH, SAUDI ARABIA",
"'FINAL DESTINATION","'JEDDAH, SAUDI ARABIA",
"'ETA DATE","':2015/06/25 (SUBJECT TO CHANGE WITHOUT PRIOR NOTICE)",
"'SHIPPER","':EVERGREEN LOGISTICS VIETNAM COMPANY LIMITED",
"'P.I.C.","':MAY NGUYEN TEL:84-08-38207771",
"'SERVICE TYPE/MODE","': (FCL/FCL) / (PORT/PORT)",
"'STUFFING PLACE","'WAREHOUSE",
"'COMMODITY","'FROZEN SEAFOOD - FROZEN PANGASIUS",
"'REMARKS","':/Y CAP CONT CARRIER NANG (HANG + VO? - 34 TONS), SACH, TOT. KHACH HANG LUU Y TRONG LUONG KHI LAY CONT VA DONG HANG.",
,

'Confidence Scores % (Table Cell)
"'57.47070313","'59.81445313",
"'65.42968750","'68.11523438",
"'65.82031250","'68.50585938",
"'65.57617188","'68.26171875",
"'68.99414063","'71.77734375",
"'68.16406250","'70.94726563",
"'41.11328125","'41.11328125",
"'64.50195313","'67.13867188",
"'63.18359375","'65.77148438",
"'59.42382813","'61.81640625",
"'65.72265625","'68.40820313",
"'58.69140625","'61.08398438",
"'63.37890625","'65.96679688",
"'60.40039063","'62.89062500",
"'64.84375000","'67.52929688",
"'69.58007813","'72.41210938",
"'69.87304688","'72.75390625",
"'70.26367188","'73.14453125",
"'67.43164063","'70.16601563",
"'66.21093750","'68.94531250",
"'72.46093750","'75.43945313",
